字符	碼位	IDC	備註
𨂿	280BF	⿰⻊歪	
𨃓	280D3	⿰⻊茶	
𨃟	280DF	⿰⻊般	
𨃰	280F0	⿰⻊兼	
𨄅	28105	⿰⻊區	
𨆼	281BC	⿰⻊㕑	
𨇯	281EF	⿰⻊雙	
𨉣	28263	⿰身叚	
𨐖	28416	⿰杀辛	
𨑨	28468	⿺辶日	
𨒇	28487	⿺辶甲	
𨓦	284E6	⿺辶里	
𨝸	28778	⿰覃阝	
𨧱	289F1	⿰金屈	
𨭈	28B48	⿰金猫|⿲金犭苖	#
𨰠	28C20	⿰金羸	
𨵢	28D62	⿵門(⿱目大)	
𨽥	28F65	⿰阝(⿱步馬)	
𩂣	290A3	⿱雨各	
𩍐	29350	⿰革登	
𩏠	293E0	⿰韋登	
𩐋	2940B	⿱欶韭	
𩑾	2947E	⿰氐頁	
𩓐	294D0	⿰孛頁	
𩚨	296A8	⿰飠丘	
𩛩	296E9	⿰飠夾	
𩜄	29704	⿰飠亞	
𩜇	29707	⿰飠卷	
𩜰	29730	⿰飠畐	
𩟗	297D7	⿱漸食	
𩢷	298B7	⿰馬百	
𩨑	29A11	⿰骨丁	
𩨳	29A33	⿰出骨	
𩭯	29B6F	⿱髟亞	
𩮜	29B9C	⿱髟剔	
𩰾	29C3E	⿱沸鬲	
𩱚	29C5A	⿱(⿲弓孛弓)鬲	
𩵱	29D71	⿰魚午	
𩸆	29E06	⿰魚奄	
𩸙	29E19	⿰魚隶	
𩸶	29E36	⿰魚岩	
𩽆	29F46	⿰魚賣	
𩿡	29FE1	⿰鳥台	
𪁎	2A04E	⿰肖鳥	
𪆵	2A1B5	⿲氵勑鳥	
𪇰	2A1F0	⿰暴鳥	
𪏆	2A3C6	⿰享黃	
𪐞	2A41E	⿰黑乇	
𪑦	2A466	⿰黑曷	
𪓟	2A4DF	⿱句黽	
𪕋	2A54B	⿰鼠卯	
𪖐	2A590	⿰鼻乚	
𪘏	2A60F	⿰⻊齒	
𪘥	2A625	⿱制齒	
𪜶	2A736	⿰亻因	
𪠘	2A818	⿸厂解	
𪰋	2AC0B	⿰日攵	
𫝏	2B74F	⿰冫彥	
𫝘	2B758	⿰口尢	
𫝛	2B75B	⿱相同	
𫝺	2B77A	⿰手甩	
𫝻	2B77B	⿰手回	
𫞼	2B7BC	⿰立在	
𫟂	2B7C2	⿰糹寒	
𫟊	2B7CA	⿰⺝席	
𫟧	2B7E7	⿺辶丁   
